CPU Usage (%),Memory Usage (%),CPU Temperature (°C)
2.5,35.6,71.984
3.8,35.6,71.984
2.3,35.6,71.984
3.0,35.6,71.984
3.0,35.6,71.984
2.3,35.6,71.446
2.8,35.6,70.908
3.7,35.6,71.984
3.2,35.6,71.984
3.8,35.6,71.984
2.8,35.6,70.908
3.5,35.6,70.908
2.8,35.6,71.446
3.5,35.6,71.446
4.7,35.6,71.984
2.5,35.6,71.984
3.0,35.6,71.446
2.5,35.6,70.908
3.2,35.6,71.446
3.8,35.6,71.446
2.3,35.6,71.446
3.5,35.6,71.446
2.3,35.6,71.984
2.3,35.6,71.446
2.5,35.6,71.446
3.2,35.6,71.446
2.5,35.6,71.984
3.0,35.6,71.984
2.8,35.6,71.984
3.5,35.6,71.446
3.0,35.6,70.908
2.5,35.6,71.984
3.0,35.6,70.908
2.5,35.6,70.908
3.5,35.6,71.446
2.3,35.6,70.908
2.0,35.6,70.908
3.0,35.6,71.446
3.5,35.7,71.446
23.8,35.9,71.984
3.8,35.9,71.984
5.0,35.9,71.984
2.5,35.9,71.984
3.5,35.9,71.984
4.3,35.8,71.446
2.3,35.8,70.908
5.3,35.6,71.446
2.0,35.6,71.446
3.7,35.6,70.908
3.0,35.6,70.908
3.3,35.6,71.446
2.3,35.6,70.908
2.8,35.6,70.908
3.0,35.6,70.908
2.8,35.6,70.908
2.3,35.6,69.832
2.8,35.6,68.756
2.3,35.6,66.066
2.3,35.6,65.528
2.8,35.6,65.528
2.8,35.6,65.528
2.8,35.6,67.142
3.3,35.6,67.68
2.3,35.6,68.756
2.8,35.6,68.218
3.8,35.6,68.756
3.2,35.6,68.756
3.3,35.6,69.832
3.5,35.6,69.294
3.3,35.6,69.294
3.0,35.6,69.832
2.5,35.6,69.832
2.0,35.6,69.832
2.8,35.6,69.832
2.5,35.6,70.37
2.5,35.6,69.832
2.0,35.6,69.832
3.5,35.6,69.832
2.8,35.6,70.37
8.7,35.7,71.446
2.8,35.7,69.832
1.8,35.7,69.832
3.3,35.7,70.908
2.0,35.7,70.37
3.5,35.7,69.832
2.0,35.7,70.37
1.8,35.7,69.832
2.0,35.7,70.37
2.3,35.7,69.832
2.3,35.7,70.37
4.5,35.7,70.37
4.7,35.7,70.37
4.0,35.7,70.908
3.0,35.7,70.37
2.3,35.7,69.832
2.5,35.7,70.908
2.5,35.7,70.37
8.6,35.7,70.908
3.3,35.7,70.908
3.5,35.7,70.908
3.5,35.7,69.832
3.3,35.7,70.37
2.0,35.7,69.832
2.8,35.7,70.37
3.7,35.7,69.832
2.8,35.7,69.832
2.0,35.7,69.832
2.5,35.7,69.832
1.8,35.7,70.908
3.2,35.7,69.832
2.5,35.7,70.908
2.5,35.7,70.37
2.8,35.7,70.37
3.3,35.7,69.832
2.8,35.7,69.832
2.3,35.7,69.832
2.8,35.7,69.832
2.5,35.7,69.832
3.3,35.7,69.832
2.8,35.7,69.832
3.7,35.7,69.832
4.0,35.7,69.832
3.0,35.7,70.37
2.5,35.7,69.832
3.5,35.7,70.37
3.5,35.7,69.832
2.5,35.7,70.37
2.3,35.7,70.37
2.8,35.7,70.908
2.5,35.7,69.832
2.8,35.7,69.832
4.2,35.7,69.832
2.5,35.7,69.832
3.5,35.7,70.37
2.8,35.7,69.832
2.8,35.7,70.37
2.8,35.7,69.832
3.2,35.7,69.832
3.0,35.7,70.37
2.8,35.7,70.37
1.8,35.7,69.832
2.5,35.7,69.832
2.5,35.7,69.832
2.5,35.7,69.832
2.3,35.7,69.832
3.2,35.7,69.832
2.5,35.7,70.37
2.8,35.7,69.832
3.0,35.7,69.832
2.8,35.7,70.37
2.8,35.7,69.832
2.3,35.7,69.832
3.2,35.7,69.832
3.3,35.7,69.832
3.5,35.7,70.37
2.8,35.7,69.832
3.0,35.7,69.832
3.0,35.7,70.37
3.3,35.7,69.832
2.5,35.7,70.908
3.0,35.7,70.37
3.3,35.7,70.37
3.0,35.7,69.832
2.5,35.7,69.832
3.5,35.7,69.832
2.5,35.7,69.832
3.3,35.7,70.908
1.5,35.7,70.908
3.0,35.7,70.908
2.8,35.7,70.37
3.5,35.7,70.37
3.5,35.7,70.37
2.0,35.7,69.832
2.8,35.7,70.908
3.5,35.7,70.37
3.2,35.7,70.908
3.0,35.7,69.832
2.8,35.7,69.832
2.8,35.7,70.37
3.0,35.7,70.37
4.4,35.7,70.908
3.3,35.7,70.37
3.5,35.7,69.832
2.5,35.7,70.37
4.0,35.7,70.37
3.5,35.7,70.37
2.3,35.7,70.37
3.3,35.7,69.832
2.3,35.7,69.832
3.0,35.7,70.908
2.8,35.7,70.908
3.3,35.7,69.832
2.5,35.7,69.832
2.0,35.7,69.832
2.5,35.7,69.832
2.0,35.7,70.908
3.3,35.7,69.832
3.5,35.7,70.37
3.0,35.7,70.37
3.8,35.7,70.908
4.2,35.7,69.832
2.8,35.7,70.37
3.3,35.7,69.832
7.4,35.8,70.908
4.8,35.7,70.37
2.5,35.7,69.832
2.8,35.7,70.37
11.7,35.7,70.908
2.2,35.7,70.908
2.5,35.7,70.37
3.5,35.7,70.908
2.5,35.7,70.37
7.0,35.7,70.908
2.0,35.7,70.908
3.0,35.7,70.908
4.0,35.7,69.832
2.8,35.7,70.908
3.8,35.7,70.37
2.3,35.7,70.37
3.5,35.7,70.37
4.3,35.7,70.37
2.7,35.7,69.832
3.0,35.7,70.37
3.5,35.7,70.908
3.3,35.7,69.832
3.3,35.7,70.37
3.2,35.7,69.832
3.0,35.7,69.832
3.8,35.7,70.37
2.5,35.7,69.832
3.0,35.7,70.37
1.8,35.7,70.37
3.5,35.7,70.908
3.3,35.7,70.37
2.5,35.7,70.37
2.8,35.7,70.37
2.8,35.7,69.832
3.3,35.7,70.37
2.8,35.7,69.832
2.5,35.7,70.37
2.8,35.7,70.37
2.8,35.7,69.832
2.3,35.7,70.908
2.3,35.7,70.37
5.8,35.8,69.832
11.9,35.7,71.984
7.5,35.7,70.908
3.3,35.7,70.908
2.5,35.7,70.908
2.8,35.7,70.908
3.0,35.7,70.908
2.0,35.7,70.908
2.0,35.7,70.908
3.5,35.7,70.37
9.2,35.7,70.908
6.6,35.7,70.908
2.8,35.7,70.908
8.1,35.7,71.984
10.7,35.7,70.908
2.3,35.8,71.446
3.7,35.8,70.908
2.8,35.8,70.908
1.8,35.8,70.908
4.8,35.8,70.908
3.2,35.8,70.908
2.8,35.8,70.908
2.0,35.8,70.908
2.3,35.8,70.908
2.3,35.8,70.908
3.7,35.8,70.908
5.0,35.7,70.908
2.0,35.7,69.832
1.8,35.7,69.832
2.5,35.7,70.908
3.0,35.7,70.908
4.0,35.7,70.908
9.3,35.8,70.908
1.8,35.7,70.908
4.0,35.7,70.37
2.8,35.7,70.908
2.3,35.7,70.908
7.2,35.4,71.446
11.1,35.4,71.984
13.4,35.8,71.446
4.5,35.7,71.446
5.6,35.7,71.984
6.0,35.7,71.446
3.8,35.7,70.908
7.4,35.7,71.446
5.1,35.7,71.446
4.5,35.7,71.446
6.1,35.8,70.908
6.0,35.8,71.446
6.4,35.8,70.908
3.5,35.7,71.446
5.5,35.8,72.522
7.8,35.8,71.984
4.5,35.7,70.908
14.5,35.8,71.984
1.8,35.8,71.446
3.8,35.8,71.984
4.8,35.8,71.446
29.8,36.3,73.06
11.9,36.6,73.598
7.3,36.6,72.522
1.8,36.6,72.522
6.8,36.6,72.522
1.5,36.6,71.984
2.0,36.6,71.446
4.6,36.6,71.984
12.2,35.8,71.984
4.3,35.8,71.984
3.0,35.8,71.984
2.8,35.8,71.984
14.1,36.3,72.522
29.2,37.0,74.136
11.5,35.8,73.598
5.8,35.8,73.06
6.5,36.0,73.06
8.0,35.9,73.06
13.5,35.9,73.06
2.3,35.9,73.06
1.3,35.9,71.984
1.3,35.9,71.984
1.8,35.9,71.984
1.0,35.9,71.446
1.3,35.9,70.908
1.5,35.9,70.908
1.5,35.9,70.908
1.3,35.9,70.908
1.0,35.9,70.908
1.5,35.9,70.908
2.7,35.9,70.908
1.0,35.9,70.908
1.8,35.9,70.908
1.0,35.9,70.908
1.0,35.9,70.908
2.7,35.9,70.908
2.0,35.9,70.908
3.8,35.9,70.37
1.0,35.9,70.908
1.8,35.9,70.908
1.5,35.9,70.908
1.5,35.9,70.37
8.0,35.9,70.908
1.5,35.9,70.37
1.7,35.9,70.37
1.5,35.9,70.908
1.3,35.9,70.908
2.0,35.9,70.37
1.8,35.9,70.37
1.5,35.9,69.832
2.0,35.9,70.37
1.3,35.9,69.832
2.3,35.9,70.37
1.3,35.9,70.37
2.0,35.9,69.832
1.8,35.9,69.832
1.7,35.9,69.832
1.0,35.9,70.37
2.0,35.9,70.908
1.5,35.9,69.832
1.8,35.9,70.37
1.7,35.9,69.832
2.0,35.9,69.832
1.3,35.9,69.832
1.3,35.9,69.832
1.3,35.9,69.832
1.3,35.9,69.832
1.3,35.9,69.832
1.8,35.9,70.37
1.3,35.9,69.832
1.3,35.9,69.294
1.5,35.9,69.294
1.5,35.9,69.832
2.0,35.9,69.832
2.2,35.9,69.832
10.0,35.9,70.908
3.0,35.9,69.832
2.0,35.9,69.832
2.5,35.9,70.37
1.0,35.9,69.832
3.0,35.9,69.832
1.5,35.9,69.832
2.0,35.9,69.294
1.5,35.9,69.832
1.3,35.9,69.832
1.0,35.9,69.832
3.0,35.9,69.832
2.8,35.9,70.37
2.3,35.9,69.832
2.7,35.9,69.832
2.5,35.9,69.832
2.5,35.9,69.294
2.3,35.9,69.832
6.7,35.9,70.908
2.5,35.9,70.37
9.3,35.9,70.37
14.5,36.3,71.446
1.0,36.3,70.908
2.5,36.3,69.832
1.0,36.3,70.908
1.8,36.3,70.37
2.0,36.3,69.832
4.5,36.3,70.37
6.3,36.3,70.908
5.5,36.4,70.908
2.8,36.4,70.908
6.8,36.4,70.908
4.8,36.4,70.908
4.1,36.4,70.908
10.4,36.4,70.908
3.8,36.4,70.908
17.6,37.0,71.984
28.6,36.4,73.06
8.4,36.4,73.06
6.5,36.5,71.984
3.7,36.4,71.984
3.0,36.4,71.446
3.5,36.4,70.908
3.5,36.4,71.446
5.3,36.5,70.908
3.6,36.4,71.984
7.5,36.4,71.446
15.3,36.4,71.984
4.6,36.4,71.446
5.9,36.4,71.984
4.5,36.4,71.984
4.6,36.4,71.446
4.8,36.4,70.908
2.5,36.4,71.446
3.5,36.4,71.446
2.8,36.4,70.908
28.7,37.1,72.522
10.8,37.1,71.984
7.1,37.1,72.522
6.3,37.1,71.984
2.3,37.1,71.446
3.0,37.1,71.984
2.8,37.1,70.908
10.8,36.4,71.984
2.3,36.4,71.446
3.8,36.4,71.984
3.8,36.4,71.446
3.1,36.4,70.908
4.8,36.4,71.446
6.9,36.4,71.984
9.4,36.7,71.984
26.5,37.5,73.598
15.6,36.4,73.598
5.7,36.4,73.06
4.8,36.4,71.984
2.5,36.4,71.984
12.6,36.4,71.984
7.5,36.4,71.984
4.5,36.4,71.984
14.5,36.6,73.06
2.5,36.6,71.984
14.5,37.1,71.984
37.3,38.1,74.136
44.8,37.7,75.212
7.8,36.6,74.136
2.0,36.6,73.06
5.5,36.6,73.598
9.1,36.8,73.598
6.5,36.6,74.136
5.4,36.8,73.06
4.3,36.8,73.06
7.7,36.6,73.06
5.9,36.6,72.522
11.6,36.6,72.522
3.9,36.6,73.06
6.2,36.6,73.06
3.8,36.6,73.06
4.3,36.6,71.984
1.5,36.6,72.522
2.3,36.6,71.984
7.6,36.6,73.06
10.1,36.6,73.598
6.3,36.6,73.598
3.3,36.6,71.984
6.3,36.6,72.522
12.5,36.4,73.06
2.0,36.4,72.522
2.5,36.4,71.984
1.3,36.4,71.446
2.0,36.4,71.446
3.0,36.4,71.446
9.0,36.4,73.06
8.0,36.4,72.522
5.0,36.4,71.984
9.0,36.4,72.522
2.3,36.4,72.522
5.3,36.4,71.984
3.3,36.4,71.984
2.5,36.4,72.522
7.2,36.4,72.522
5.3,36.4,72.522
4.3,36.4,71.984
8.5,36.4,73.06
6.3,36.4,72.522
5.0,36.4,71.984
6.4,36.4,71.984
7.7,36.4,71.984
3.8,36.4,71.446
6.1,36.4,71.984
17.6,36.7,73.06
2.8,36.7,71.984
5.6,36.7,73.06
8.9,36.7,73.598
5.3,36.7,73.06
19.2,37.2,73.598
18.9,37.6,74.136
6.9,37.6,73.598
5.5,37.6,73.598
13.4,36.9,74.136
1.5,36.9,72.522
1.8,36.9,73.06
3.5,36.9,73.06
8.3,36.9,72.522
4.8,36.9,71.984
13.4,36.9,73.598
0.8,36.9,72.522
1.8,36.9,72.522
1.5,36.9,72.522
1.0,36.9,71.984
1.0,36.9,71.984
2.0,36.9,71.984
1.8,36.9,71.984
1.3,36.9,71.446
1.5,36.9,71.446
1.7,36.9,71.446
1.3,36.9,71.446
1.8,36.9,71.446
1.3,36.9,71.984
1.8,36.9,71.446
1.5,36.9,71.446
1.3,36.9,71.446
2.0,36.9,70.908
0.8,36.9,70.908
1.5,36.9,71.446
2.0,36.9,70.908
1.5,36.9,71.446
1.7,36.9,70.908
1.5,36.9,71.446
1.8,36.9,70.908
1.3,36.9,70.908
1.3,36.9,70.908
1.8,36.9,70.908
1.7,36.9,70.908
2.0,36.9,70.908
1.0,36.9,70.908
1.5,36.9,70.908
1.5,36.9,70.908
1.5,36.9,71.446
1.8,36.9,70.37
9.6,36.9,71.984
2.8,36.9,70.908
2.0,36.9,71.446
3.0,36.9,70.908
2.5,36.9,70.908
3.3,36.9,70.908
1.5,36.9,70.908
2.0,36.9,70.908
1.3,36.9,70.908
1.8,36.9,70.908
1.3,36.9,70.908
3.7,36.9,70.908
4.1,36.9,70.908
2.5,36.9,71.446
1.8,36.9,70.908
2.8,36.9,70.908
2.3,36.9,70.908
7.8,36.9,71.446
2.3,36.8,70.908
3.0,36.8,70.908
2.5,36.8,70.908
2.3,36.8,70.908
1.5,36.8,70.908
1.5,36.8,70.908
2.0,36.8,70.908
2.0,36.8,70.37
1.7,36.8,70.908
1.5,36.8,70.908
1.8,36.8,70.908
2.0,36.8,70.908
2.0,36.8,70.37
1.3,36.8,70.908
3.0,36.8,70.908
2.0,36.8,70.908
2.0,36.8,70.908
1.8,36.8,70.37
1.0,36.8,70.908
1.8,36.8,70.908
2.0,36.8,70.908
1.3,36.8,70.908
1.5,36.8,70.37
1.3,36.8,70.908
2.2,36.8,70.908
2.3,36.8,70.37
1.5,36.8,70.908
1.5,36.8,70.37
1.3,36.8,70.37
2.0,36.8,70.37
2.3,36.8,70.908
1.0,36.8,70.908
2.0,36.8,69.832
1.3,36.8,70.908
1.8,36.8,69.832
1.3,36.8,70.908
1.7,36.8,70.37
1.5,36.8,69.832
1.8,36.8,70.37
1.8,36.8,69.832
1.5,36.8,70.37
3.3,36.8,70.908
1.8,36.8,70.908
1.0,36.8,70.37
1.3,36.8,70.37
2.0,36.8,70.908
1.3,36.8,70.37
2.0,36.8,70.37
0.8,36.8,70.37
1.3,36.8,70.37
2.0,36.8,70.908
1.3,36.8,70.908
1.8,36.8,70.37
2.2,36.8,70.908
1.0,36.8,70.37
1.3,36.8,70.37
1.3,36.8,70.908
2.0,36.8,69.832
1.0,36.8,70.37
2.0,36.8,69.832
1.8,36.8,70.37
1.5,36.8,70.37
1.0,36.8,70.37
3.0,36.8,70.37
1.5,36.8,70.37
2.5,36.8,70.37
1.0,36.8,70.37
1.0,36.8,70.908
2.5,36.8,70.37
1.5,36.8,70.908
1.8,36.8,70.908
2.3,36.8,70.37
1.8,36.8,69.832
2.0,36.8,70.37
1.0,36.8,70.908
2.0,36.8,69.832
1.8,36.8,69.832
1.5,36.8,70.37
1.8,36.8,70.37
1.3,36.8,70.908
2.3,36.8,70.37
1.5,36.8,70.37
1.3,36.8,69.832
1.3,36.8,70.37
1.5,36.8,70.908
1.8,36.8,70.37
1.8,36.8,70.908
1.0,36.8,69.832
1.8,36.8,70.37
1.5,36.8,70.37
1.5,36.8,70.908
1.3,36.8,69.832
2.2,36.8,69.832
2.0,36.8,70.37
1.0,36.8,70.908
1.3,36.8,69.832
2.0,36.8,70.37
1.5,36.8,69.294
1.5,36.8,70.37
1.8,36.8,70.37
2.0,36.8,69.832
10.3,36.8,69.832
3.0,36.8,69.832
1.5,36.8,69.832
2.5,36.8,69.294
2.2,36.8,69.294
3.3,36.8,69.294
1.8,36.8,69.294
2.0,36.8,69.294
1.5,36.8,69.294
2.2,36.8,69.294
1.8,36.8,68.756
3.0,36.8,69.294
4.0,36.8,69.294
1.3,36.8,68.756
1.5,36.8,69.294
2.5,36.8,69.294
2.3,36.8,68.756
2.3,36.8,69.294
6.5,36.8,69.832
2.3,36.7,69.294
3.0,36.7,68.756
3.0,36.7,69.294
1.3,36.7,69.294
2.3,36.7,68.218
1.5,36.7,68.756
1.5,36.7,68.756
1.3,36.7,68.756
2.2,36.7,68.756
1.8,36.7,68.756
1.3,36.7,68.756
1.8,36.7,68.756
1.8,36.7,68.756
2.0,36.7,68.756
5.8,36.7,68.756
5.8,36.7,69.294
6.5,36.7,68.756
12.9,37.2,69.294
27.3,37.9,70.908
11.4,36.8,70.908
3.3,36.8,69.832
7.1,36.8,70.908
4.8,36.7,69.832
2.3,36.7,69.832
3.0,36.7,69.294
5.7,36.7,69.294
2.3,36.7,69.294
2.8,36.7,69.294
3.0,36.7,68.756
4.3,36.7,68.756
2.8,36.7,69.294
2.5,36.7,68.756
5.8,36.9,69.294
3.3,36.8,68.756
2.8,36.8,69.294
4.0,36.8,68.756
3.0,36.8,68.756
3.3,36.8,68.756
2.3,36.8,68.756
2.8,36.8,68.756
3.5,36.8,68.756
4.0,36.8,69.294
3.8,36.8,69.294
2.3,36.8,68.756
3.0,36.8,68.756
2.5,36.8,68.756
3.0,36.8,68.218
5.5,36.8,69.294
1.8,36.8,68.756
2.3,36.8,68.756
3.0,36.8,68.756
8.1,36.4,69.294
2.5,36.4,68.756
2.5,36.4,68.756
2.8,36.4,68.756
4.8,36.4,68.756
2.8,36.4,69.294
3.0,36.4,68.756
3.5,36.4,68.756
2.5,36.4,68.218
3.0,36.4,68.756
2.5,36.4,68.756
4.1,36.4,68.218
3.3,36.4,68.756
2.0,36.4,68.756
2.8,36.4,68.756
3.0,36.4,67.68
3.8,36.4,67.68
3.5,36.4,68.218
2.8,36.4,68.218
2.3,36.4,68.756
3.5,36.4,67.68
3.3,36.4,68.218
3.0,36.4,67.68
4.0,36.4,67.68
3.5,36.4,67.68
3.7,36.4,67.68
3.7,36.4,67.68
3.3,36.4,67.68
2.0,36.4,67.68
2.8,36.4,67.68
2.8,36.4,67.68
2.5,36.4,68.218
2.8,36.4,68.218
2.8,36.4,67.68
4.0,36.4,67.68
2.5,36.4,67.68
2.3,36.4,68.218
3.3,36.4,67.68
2.5,36.4,67.68
2.5,36.4,67.142
3.5,36.4,67.68
3.0,36.4,67.142
4.0,36.4,67.68
2.7,36.4,67.68
2.8,36.4,67.68
2.5,36.4,67.68
3.0,36.4,67.68
3.0,36.4,67.68
3.2,36.4,67.68
4.8,36.4,68.756
2.3,36.4,67.68
3.0,36.4,67.68
2.8,36.4,68.218
2.5,36.4,68.756
2.5,36.4,67.142
4.0,36.4,68.218
2.8,36.4,67.68
2.8,36.4,67.68
3.5,36.4,67.142
3.5,36.4,67.142
2.8,36.4,67.68
2.3,36.4,67.68
2.5,36.4,67.68
2.8,36.4,67.68
3.0,36.4,67.142
3.0,36.4,67.68
3.0,36.4,67.68
3.3,36.4,67.142
2.5,36.4,67.68
2.8,36.4,67.68
2.5,36.4,67.68
3.7,36.4,67.68
3.0,36.4,67.68
4.2,36.4,67.68
3.3,36.4,67.68
2.8,36.4,67.68
3.0,36.4,67.68
3.5,36.4,67.68
2.3,36.4,67.68
2.3,36.4,67.68
3.3,36.4,67.68
2.8,36.4,67.142
3.0,36.4,66.604
2.5,36.4,67.68
2.8,36.4,67.68
2.0,36.4,67.142
2.8,36.4,67.68
2.3,36.4,67.142
2.8,36.4,67.142
3.2,36.4,67.68
3.3,36.4,67.68
3.5,36.4,67.142
9.0,35.9,67.68
3.5,35.9,67.68
4.2,35.9,67.68
8.7,36.0,67.68
4.8,35.9,68.756
2.5,35.9,67.68
6.1,35.9,67.68
5.0,35.9,68.756
5.1,36.0,67.68
3.3,36.0,67.68
4.0,36.0,68.218
16.1,36.0,69.294
4.8,36.0,68.756
21.0,36.1,69.832
4.3,36.1,69.294
8.7,36.1,68.756
5.4,36.1,68.756
2.5,36.1,68.756
1.3,36.1,68.756
5.0,36.1,68.218
4.5,36.1,68.218
2.7,36.1,67.68
1.8,36.1,68.218
10.6,36.1,68.756
2.0,36.1,68.756
7.5,36.1,68.756
11.7,36.0,69.294
1.5,36.0,68.756
2.3,36.0,67.68
3.3,36.0,68.756
4.3,36.0,68.756
6.1,36.0,68.756
2.8,36.0,68.218
1.5,36.0,68.218
1.3,36.0,68.218
9.1,36.1,69.294
7.8,36.1,68.756
10.1,36.4,69.294
26.6,37.0,70.908
18.7,36.1,70.908
5.3,36.2,69.294
3.0,36.1,69.832
3.0,36.1,69.832
3.0,36.1,69.832
3.5,36.1,68.756
3.0,36.1,69.294
4.0,36.1,68.756
4.0,36.1,68.756
2.3,36.1,68.756
3.0,36.1,69.294
3.2,36.1,68.756
3.3,36.1,68.756
2.3,36.1,68.756
2.8,36.1,68.756
3.5,36.1,68.756
3.0,36.1,68.756
2.8,36.1,68.756
2.3,36.1,67.68
2.5,36.1,68.756
2.0,36.1,67.68
2.8,36.1,67.68
3.0,36.1,67.68
2.8,36.1,67.68
3.0,36.1,67.68
3.3,36.1,67.68
2.8,36.1,67.142
3.7,36.1,68.218
3.3,36.1,67.68
2.8,36.1,68.756
4.2,36.1,68.756
3.7,36.1,68.756
2.5,36.1,68.756
4.5,36.1,67.68
3.0,36.1,67.68
3.0,36.1,67.68
3.0,36.1,67.68
4.0,36.1,68.218
2.8,36.1,67.68
3.0,36.1,67.68
2.3,36.1,67.68
3.5,36.1,68.756
2.5,36.1,68.756
4.0,36.1,67.68
3.5,36.1,67.68
3.5,36.1,68.218
4.0,36.1,68.218
2.8,36.1,67.142
2.8,36.1,67.68
2.5,36.1,67.68
3.0,36.1,67.68
3.8,36.1,67.68
3.0,36.1,67.142
2.8,36.1,68.218
2.3,36.1,68.756
3.8,36.1,67.68
2.8,36.1,67.68
2.3,36.1,67.68
3.0,36.1,67.68
4.7,36.1,67.68
